product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping	/Law & Government	/Sports	/Books & Literature	/Arts & Entertainment/Performing Arts	/Arts & Entertainment/Visual Art & Design	/Business & Industrial/Advertising & Marketing	/Business & Industrial/Business Services/Office Services	/Real Estate	/Computers & Electronics/Computer Hardware	/Computers & Electronics/Programming	/Computers & Electronics/Software	/Arts & Entertainment/Offbeat	/Arts & Entertainment/Movies	/Arts & Entertainment/Music & Audio	/Arts & Entertainment/TV & Video	/Finance/Banking	/Finance/Insurance	/Games/Card Games	/Games/Computer & Video Games	/Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz
Portal site	0.42857142857142855	0.3333333333333333	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.4	0.6	0.42857142857142855	0.42857142857142855	0.6	0.6	0.46153846153846156	0.3333333333333333	0.3333333333333333	0.35294117647058826	0.46153846153846156	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Skill up	0.42857142857142855	0.4	0.3076923076923077	0.6666666666666666	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.42857142857142855	0.6	0.42857142857142855	0.42857142857142855	0.6	0.6	0.46153846153846156	0.4	0.4	0.4	0.46153846153846156	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3076923076923077	0.42857142857142855	0.6666666666666666	0.6666666666666666	0.6666666666666666
Marriage	0.42857142857142855	0.3333333333333333	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.4	0.6	0.42857142857142855	0.42857142857142855	0.6	0.6	0.46153846153846156	0.3333333333333333	0.3333333333333333	0.35294117647058826	0.46153846153846156	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.6
PC	0.5	0.4	0.26666666666666666	0.7142857142857143	0.36363636363636365	0.3333333333333333	0.2857142857142857	0.36363636363636365	0.46153846153846156	0.3076923076923077	0.4444444444444444	0.46153846153846156	0.5	0.5	0.5	0.46153846153846156	0.375	0.46153846153846156	0.4	0.4	0.5555555555555556	0.5	0.5	0.7142857142857143	0.5	0.26666666666666666	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Diet	0.42857142857142855	0.3333333333333333	0.3076923076923077	0.6666666666666666	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.4	0.3076923076923077	0.6	0.4	0.6	0.42857142857142855	0.42857142857142855	0.6	0.6	0.46153846153846156	0.3333333333333333	0.3333333333333333	0.35294117647058826	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3076923076923077	0.42857142857142855	0.6666666666666666	0.6666666666666666	0.6
Software	0.42857142857142855	0.3333333333333333	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.4	0.6	0.42857142857142855	0.42857142857142855	0.6	0.6	0.46153846153846156	0.3333333333333333	0.3333333333333333	0.35294117647058826	0.46153846153846156	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
stocks	0.5	0.4	0.3076923076923077	0.7142857142857143	0.46153846153846156	0.4	0.2857142857142857	0.46153846153846156	0.46153846153846156	0.3076923076923077	0.4444444444444444	0.46153846153846156	0.5	0.5	0.5	0.46153846153846156	0.5454545454545454	0.46153846153846156	0.4	0.4	0.5555555555555556	0.5	0.5	0.7142857142857143	0.5	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Home games	0.42857142857142855	0.3333333333333333	0.3076923076923077	0.7142857142857143	0.46153846153846156	0.4	0.2857142857142857	0.46153846153846156	0.46153846153846156	0.3076923076923077	0.4	0.4	0.4	0.42857142857142855	0.42857142857142855	0.4	0.5454545454545454	0.46153846153846156	0.3333333333333333	0.3333333333333333	0.35294117647058826	0.46153846153846156	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Anti aging	0.42857142857142855	0.3333333333333333	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.4	0.3076923076923077	0.6	0.4	0.6	0.42857142857142855	0.42857142857142855	0.6	0.6	0.46153846153846156	0.3333333333333333	0.3333333333333333	0.35294117647058826	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Government agencies/municipalities/public organizations	0.8	0.47058823529411764	0.8421052631578947	0.8571428571428571	0.8333333333333334	0.8571428571428571	0.375	0.8888888888888888	0.5714285714285714	0.5882352941176471	0.8888888888888888	0.8	0.75	0.8	0.9230769230769231	0.8571428571428571	1.0	0.36363636363636365	0.47058823529411764	0.75	0.47058823529411764	0.8	0.8	0.8571428571428571	0.8	0.8421052631578947	0.8421052631578947	0.8571428571428571	0.8571428571428571	0.9090909090909091
News/Publications	0.75	0.5555555555555556	0.9	0.6666666666666666	0.5882352941176471	0.9473684210526315	0.5882352941176471	0.5	1.0	0.625	0.5555555555555556	0.6666666666666666	0.9473684210526315	0.75	0.75	0.9473684210526315	0.9473684210526315	0.4	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.75	0.8235294117647058	0.75	0.75	0.9	0.9	0.6666666666666666	0.6666666666666666	0.75
Hosting service	0.5	0.4	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.46153846153846156	0.6	0.5	0.5	0.6	0.6	0.46153846153846156	0.4	0.4	0.5555555555555556	0.5	0.5	0.7142857142857143	0.5	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Pharmaceuticals	0.5	0.4	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.46153846153846156	0.6	0.5	0.5	0.6	0.6	0.46153846153846156	0.4	0.4	0.5555555555555556	0.5	0.5	0.7142857142857143	0.5	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Vehicle trading	0.5	0.4	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.46153846153846156	0.6	0.5	0.5	0.6	0.6	0.46153846153846156	0.4	0.4	0.5555555555555556	0.5	0.5	0.7142857142857143	0.5	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Other vehicles	0.5	0.4	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.46153846153846156	0.6	0.5	0.5	0.6	0.6	0.46153846153846156	0.4	0.4	0.5555555555555556	0.5	0.5	0.7142857142857143	0.5	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Hair Care	0.5	0.4	0.3076923076923077	0.7142857142857143	0.5454545454545454	0.6	0.2857142857142857	0.6666666666666666	0.46153846153846156	0.3076923076923077	0.6	0.46153846153846156	0.6	0.5	0.5	0.6	0.6	0.46153846153846156	0.4	0.4	0.5555555555555556	0.5	0.5	0.7142857142857143	0.5	0.3076923076923077	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.7142857142857143
Legal affairs/accounting/auditing	0.75	0.4	0.7777777777777778	0.875	0.5714285714285714	0.9333333333333333	0.14285714285714285	0.5714285714285714	0.7142857142857143	0.8	0.8888888888888888	0.875	0.8235294117647058	0.75	0.75	0.9333333333333333	0.9333333333333333	0.3333333333333333	0.4	0.7058823529411765	0.47058823529411764	0.75	0.7692307692307693	0.8	0.75	0.7777777777777778	0.7777777777777778	0.875	0.875	0.8
Arts and Design	1.0	0.7368421052631579	0.7368421052631579	0.8	0.6666666666666666	0.8421052631578947	0.6666666666666666	0.4444444444444444	0.5454545454545454	0.7142857142857143	0.8888888888888888	0.75	0.8888888888888888	1.0	1.0	0.8421052631578947	0.8421052631578947	0.36363636363636365	0.7368421052631579	0.8888888888888888	0.7368421052631579	1.0	1.0	1.0	1.0	0.7368421052631579	0.7368421052631579	0.8	0.8	1.0
