product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping
Portal site	0.06721132897603486	0.1526251526251526	0.051935394040657196	0.06399599712293211	0.07637831939302528	0.05708122430258654	0.1125	0.06334832178485429	0.060375816993464046	0.08055555555555555
Skill up	0.13723544973544974	0.08744588744588744	0.11125992063492063	0.1039629452672931	0.05392038517038518	0.10345238095238096	0.07179487179487179	0.12028619528619527	0.1088888888888889	0.11697330447330448
Marriage	0.09113912707662708	0.06975651663151664	0.07807123432123432	0.08442111216175388	0.07814351487435853	0.09478650207816874	0.06430795243198494	0.11216270708458208	0.09331210456210456	0.07501404845154845
PC	0.06721132897603486	0.1526251526251526	0.051935394040657196	0.06399599712293211	0.07637831939302528	0.05708122430258654	0.1125	0.06334832178485429	0.060375816993464046	0.08055555555555555
Diet	0.08190347234464881	0.07061428316265778	0.08584183892088304	0.0799035483145054	0.08008898208201612	0.08276128147451677	0.06757119514472457	0.09659654751566517	0.07969863469863468	0.11010459107885578
Software	0.0850885225885226	0.0673076923076923	0.07028388278388278	0.07399683649683651	0.07201806227541523	0.08025261775261776	0.06274509803921569	0.09354395604395604	0.09871794871794871	0.06904761904761905
stocks	0.07686112201495328	0.07945454728736462	0.07882915297775978	0.07255255473603558	0.08638392734732722	0.07028310211746744	0.0897769463723411	0.08724481041991984	0.07438509302015492	0.10525623990782886
Home games	0.09742664742664742	0.07028388278388278	0.09417989417989418	0.126491563991564	0.07201806227541523	0.09767115600448933	0.06274509803921569	0.09354395604395604	0.09978354978354978	0.08116883116883117
Anti aging	0.09462682379349045	0.10909090909090909	0.09147408147408148	0.09168956043956043	0.09698032463989908	0.08136403826059	0.09478114478114479	0.10776806526806527	0.09484848484848486	0.11468253968253969
Government agencies/municipalities/public organizations	0.10032985918402586	0.0757855683713527	0.08978479082645749	0.09208221158421694	0.08730308240067983	0.11007850735123464	0.06977387310688395	0.13713820901320903	0.09922286047286046	0.08173645186512835
News/Publications	0.09965255937478158	0.0756625023996885	0.09864764482927538	0.08704718649014549	0.08076486306727962	0.1005612516032766	0.07291837944572722	0.10417324369530251	0.22914921498254834	0.08245496787163452
Hosting service	0.09705273575371613	0.0701937976215582	0.08813271408706305	0.09452682049866361	0.07502105647906732	0.0996338663375127	0.06583005630993248	0.09407693192734552	0.08424318274318274	0.10063148168966583
