product_ctgr_name	/Arts & Entertainment	/Computers & Electronics	/Finance	/Games	/Home & Garden	/Business & Industrial	/Internet & Telecom	/People & Society	/News	/Shopping
Portal site	0.1111111111111111	0.3333333333333333	0.05555555555555555	0.1111111111111111	0.1	0.06666666666666667	0.125	0.07142857142857142	0.0625	0.1111111111111111
Skill up	0.25	0.1	0.14285714285714285	0.125	0.14285714285714285	0.14285714285714285	0.07692307692307693	0.16666666666666666	0.1111111111111111	0.16666666666666666
Marriage	0.14285714285714285	0.09090909090909091	0.1	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.07692307692307693	0.2	0.125	0.09090909090909091
PC	0.1111111111111111	0.3333333333333333	0.05555555555555555	0.1111111111111111	0.1	0.06666666666666667	0.125	0.07142857142857142	0.0625	0.1111111111111111
Diet	0.125	0.1	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.08333333333333333	0.16666666666666666	0.09090909090909091	0.16666666666666666
Software	0.125	0.07692307692307693	0.07692307692307693	0.08333333333333333	0.09090909090909091	0.1	0.06666666666666667	0.1111111111111111	0.1111111111111111	0.07142857142857142
stocks	0.16666666666666666	0.2	0.2	0.14285714285714285	0.2	0.16666666666666666	0.16666666666666666	0.3333333333333333	0.1111111111111111	0.25
Home games	0.1111111111111111	0.07692307692307693	0.1111111111111111	0.5	0.09090909090909091	0.125	0.06666666666666667	0.1111111111111111	0.14285714285714285	0.09090909090909091
Anti aging	0.125	0.25	0.16666666666666666	0.2	0.16666666666666666	0.1111111111111111	0.1111111111111111	0.2	0.1	0.2
Government agencies/municipalities/public organizations	0.25	0.1	0.25	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.09090909090909091	0.5	0.14285714285714285	0.125
News/Publications	0.25	0.1111111111111111	0.3333333333333333	0.16666666666666666	0.14285714285714285	0.5	0.125	0.2	1.0	0.14285714285714285
Hosting service	0.25	0.16666666666666666	0.16666666666666666	0.3333333333333333	0.2	0.3333333333333333	0.125	0.2	0.14285714285714285	0.2
Pharmaceuticals	0.09090909090909091	0.125	0.07142857142857142	0.1	0.1111111111111111	0.09090909090909091	0.08333333333333333	0.1	0.08333333333333333	0.09090909090909091
Vehicle trading	0.16666666666666666	0.16666666666666666	0.25	0.16666666666666666	0.25	0.3333333333333333	0.3333333333333333	0.2	0.1111111111111111	0.25
Other vehicles	0.16666666666666666	0.16666666666666666	0.09090909090909091	0.16666666666666666	0.25	0.125	0.3333333333333333	0.14285714285714285	0.1111111111111111	0.16666666666666666
Hair Care	0.16666666666666666	0.07142857142857142	0.1111111111111111	0.2	0.08333333333333333	0.2	0.0625	0.1	0.1	0.1
Legal affairs/accounting/auditing	0.2	0.09090909090909091	0.3333333333333333	0.3333333333333333	0.2	0.5	0.07692307692307693	0.2	0.2	0.3333333333333333
Arts and Design	1.0	0.16666666666666666	0.16666666666666666	0.25	0.16666666666666666	0.25	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.2
Hardware	0.2	0.2	0.07692307692307693	0.2	0.16666666666666666	0.1	0.25	0.1111111111111111	0.09090909090909091	0.2
Entertainment	1.0	0.07692307692307693	0.125	0.3333333333333333	0.09090909090909091	0.25	0.06666666666666667	0.1111111111111111	0.1111111111111111	0.1111111111111111
sightseeing/spot/name/trace	0.2	0.16666666666666666	0.2	0.3333333333333333	0.3333333333333333	0.5	0.16666666666666666	0.3333333333333333	0.16666666666666666	0.25
Hotels	0.16666666666666666	0.125	0.06666666666666667	0.125	0.2	0.08333333333333333	0.14285714285714285	0.09090909090909091	0.07692307692307693	0.16666666666666666
food	0.2	0.125	0.125	0.3333333333333333	0.14285714285714285	0.2	0.1	0.14285714285714285	0.1111111111111111	0.1111111111111111
Consumer finance	0.16666666666666666	0.2	1.0	0.16666666666666666	0.14285714285714285	0.5	0.1	0.14285714285714285	0.1111111111111111	0.16666666666666666
Cruise	0.09090909090909091	0.058823529411764705	0.16666666666666666	0.125	0.25	0.1	0.05263157894736842	0.16666666666666666	0.07692307692307693	0.2
Maternity	0.14285714285714285	0.1	0.1	0.1111111111111111	0.14285714285714285	0.14285714285714285	0.08333333333333333	0.16666666666666666	0.16666666666666666	0.09090909090909091
Skin Care	0.16666666666666666	0.07142857142857142	0.1111111111111111	0.2	0.08333333333333333	0.2	0.0625	0.1	0.1	0.1
Construction and construction	0.25	0.16666666666666666	0.3333333333333333	0.2	0.3333333333333333	0.5	0.2	0.1111111111111111	0.14285714285714285	0.25
Furniture/Interior	0.16666666666666666	0.16666666666666666	0.07692307692307693	0.16666666666666666	0.25	0.1	0.2	0.1111111111111111	0.09090909090909091	0.16666666666666666
Antique items	0.2	0.14285714285714285	0.16666666666666666	0.16666666666666666	0.2	0.14285714285714285	0.16666666666666666	0.2	0.14285714285714285	0.5
Food Stores/Izakaya/Renting/Nightclub	0.2	0.2	0.25	0.3333333333333333	0.16666666666666666	0.25	0.16666666666666666	0.16666666666666666	0.125	0.25
drugs	0.1111111111111111	0.16666666666666666	0.16666666666666666	0.125	0.16666666666666666	0.1111111111111111	0.1	0.16666666666666666	0.1	0.2
Gardening	0.07692307692307693	0.05555555555555555	0.14285714285714285	0.08333333333333333	1.0	0.16666666666666666	0.05	0.1	0.07142857142857142	0.14285714285714285
Domain	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.3333333333333333	0.25	0.1111111111111111	0.3333333333333333	0.14285714285714285	0.125
Real Estate/Used/Others	0.125	0.09090909090909091	0.2	0.14285714285714285	0.2	0.125	0.07692307692307693	0.2	0.1111111111111111	0.25
